nombre_variable,score_f,p_value
chem_mordred_mZagreb2,3453.928504676764,0.0
chem_mordred_MWC08,2499.111037323357,0.0
chem_mordred_MWC09,2477.83462605178,0.0
chem_mordred_MWC10,2399.5762224648415,0.0
chem_mordred_TMWC10,4248.814555629013,0.0
chem_mordred_SRW02,3243.847580457039,0.0
chem_mol2vec012,3341.713493318279,0.0
chem_mordred_JGI10,2609.7799709969245,0.0
chem_mordred_NssssC,1881.9271709325728,0.0
chem_mordred_SRW03,2355.610718090788,0.0
chem_mordred_SRW04,2892.1694395583236,0.0
chem_mordred_SRW05,3277.444823528384,0.0
chem_mordred_SRW06,2542.4632814481574,0.0
chem_mordred_SRW07,3114.4062575389376,0.0
chem_mordred_ATSC0d,4947.416435483274,0.0
chem_mordred_TSRW10,5424.486304352001,0.0
chem_mordred_MWC07,2604.0814097247207,0.0
chem_mordred_Zagreb1,5940.429198961069,0.0
chem_mol2vec057,2179.0912710917382,0.0
chem_mordred_MWC01,5082.522693545395,0.0
